segmentnr	original	analyzed	folio	translated
['PA_kv_18.7:0.1']	Kathāvatthu	kathāvatthu 	0	Points of Controversy
['PA_kv_18.7:0.2']	Mahāpaṇṇāsaka	mahāpaṇṇāsaka 	0	The Great Fifty
['PA_kv_18.7:0.3']	Aṭṭhārasamavagga	aṭṭhārasama vagga 	0	The eighteenth chapter
['PA_kv_18.7:0.4']	Jhānantarikakathā	jhā ānantarika kathā 	0	Discussion on the interval between jhānas
['PA_kv_18.7:1.1']	Atthi jhānantarikāti?	atthi jhānantarikā ati 	1	“Is there an interval between jhānas?”
['PA_kv_18.7:1.2']	Āmantā.	āmantā 	1	“Yes.”
['PA_kv_18.7:1.3']	Atthi phassantarikā …pe…	atthi phassa antarikā pe 	1	“Is there an interval between contacts …
['PA_kv_18.7:1.4']	atthi saññantarikāti?	atthi saññantarikā ati 	1	between perceptions?”
['PA_kv_18.7:1.5']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	1	“Is it so that the Blessed One has not declared the four noble truths?” …
['PA_kv_18.7:2.1']	Atthi jhānantarikāti?	atthi jhānantarikā ati 	2	“Is there an interval between jhānas?”
['PA_kv_18.7:2.2']	Āmantā.	āmantā 	2	“Yes.”
['PA_kv_18.7:2.3']	Dutiyassa ca jhānassa tatiyassa ca jhānassa antare atthi jhānantarikāti?	dutiyassa ca jhānassa tatiyassa ca jhānassa antare atthi jhānantarikā ati 	2	“Is there an interval between the second and third jhānas?”
['PA_kv_18.7:2.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	2	“Is it so that the Blessed One has not declared the four noble truths?” …
['PA_kv_18.7:3.1']	Atthi jhānantarikāti?	atthi jhānantarikā ati 	3	“Is there an interval between jhānas?”
['PA_kv_18.7:3.2']	Āmantā.	āmantā 	3	“Yes.”
['PA_kv_18.7:3.3']	Tatiyassa ca jhānassa catutthassa ca jhānassa antare atthi jhānantarikāti?	tatiyassa ca jhānassa catutthassa ca jhānassa antare atthi jhānantarikā ati 	3	“Is there an interval between the third and fourth jhānas?”
['PA_kv_18.7:3.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	3	“Is it so that the Blessed One has not declared the four noble truths?” …
['PA_kv_18.7:4.1']	Dutiyassa ca jhānassa tatiyassa ca jhānassa antare natthi jhānantarikāti?	dutiyassa ca jhānassa tatiyassa ca jhānassa antare natthi jhāna antarikā ati 	4	“Is there no interval between the second and third jhānas?”
['PA_kv_18.7:4.2']	Āmantā.	āmantā 	4	“Yes.”🔽“Then it is not correct to say that there is an interval between jhānas.”
['PA_kv_18.7:4.3']	Hañci dutiyassa ca jhānassa tatiyassa ca jhānassa antare natthi jhānantarikā, no ca vata re vattabbe—	hañci dutiyassa ca jhānassa tatiyassa ca jhānassa antare natthi jhāna antarikā no ca vata re vattabbe 	4	“Is there an interval between the second and third jhānas?”
['PA_kv_18.7:4.4']	“atthi jhānantarikā”ti.	atthi jhānantarikā ati 	4	“Yes.”🔽“Then it is not correct to say that there is no interval between the second and third jhānas.”
['PA_kv_18.7:5.1']	Tatiyassa ca jhānassa catutthassa ca jhānassa antare natthi jhānantarikāti?	tatiyassa ca jhānassa catutthassa ca jhānassa antare natthi jhāna antarikā ati 	5	Is there no jhāna in between the third and the fourth jhānas?
['PA_kv_18.7:5.2']	Āmantā.	āmantā 	5	“Yes.”
['PA_kv_18.7:5.3', 'PA_kv_18.7:5.4']	Hañci tatiyassa ca jhānassa catutthassa ca jhānassa antare natthi jhānantarikā, no ca vata re vattabbe—🔽“atthi jhānantarikā”ti.	hañci tatiyassa ca jhānassa catutthassa ca jhānassa antare natthi jhāna antarikā no ca vata re vattabbe  atthi jhānantarikā ati 	5	“Then it is not tenable for you to say, ‘There is jhāna in between the third and the fourth jhānas.’
['PA_kv_18.7:6.1']	Paṭhamassa ca jhānassa dutiyassa ca jhānassa antare atthi jhānantarikāti?	paṭhamassa ca jhānassa dutiyassa ca jhānassa antare atthi jhānantarikā ati 	6	“Is there jhāna in between the first and second jhānas?
['PA_kv_18.7:6.2']	Āmantā.	āmantā 	6	“Yes.”
['PA_kv_18.7:6.3']	Dutiyassa ca jhānassa tatiyassa ca jhānassa antare atthi jhānantarikāti?	dutiyassa ca jhānassa tatiyassa ca jhānassa antare atthi jhānantarikā ati 	6	“Is there jhāna in between the second and third jhānas?
['PA_kv_18.7:6.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	6	“Is it so that the Blessed One has not declared the abandoning of lust, the abandoning of hatred, the abandoning of delusion?
['PA_kv_18.7:7.1']	Paṭhamassa ca jhānassa dutiyassa ca jhānassa antare atthi jhānantarikāti?	paṭhamassa ca jhānassa dutiyassa ca jhānassa antare atthi jhānantarikā ati 	7	“Then it is not tenable for you to say, ‘There is jhāna in between the first and second jhānas.’
['PA_kv_18.7:7.2']	Āmantā.	āmantā 	7	“Yes.”
['PA_kv_18.7:7.3']	Tatiyassa ca jhānassa catutthassa ca jhānassa antare atthi jhānantarikāti?	tatiyassa ca jhānassa catutthassa ca jhānassa antare atthi jhānantarikā ati 	7	“Is there jhāna in between the third and fourth jhānas?
['PA_kv_18.7:7.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	7	“Is it so that the Blessed One has not declared the four noble truths?” …
['PA_kv_18.7:8.1']	Dutiyassa ca jhānassa tatiyassa ca jhānassa antare natthi jhānantarikāti?	dutiyassa ca jhānassa tatiyassa ca jhānassa antare natthi jhāna antarikā ati 	8	“Then it is not tenable for you to say, ‘There is jhāna in between the second and third jhānas.’
['PA_kv_18.7:8.2']	Āmantā.	āmantā 	8	“Yes.”
['PA_kv_18.7:8.3']	Paṭhamassa ca jhānassa dutiyassa ca jhānassa antare natthi jhānantarikāti?	paṭhamassa ca jhānassa dutiyassa ca jhānassa antare natthi jhāna antarikā ati 	8	Is there no jhāna in between the first jhāna and the second jhāna?
['PA_kv_18.7:8.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	8	You should not say so.
['PA_kv_18.7:9.1']	Tatiyassa ca jhānassa catutthassa ca jhānassa antare natthi jhānantarikāti?	tatiyassa ca jhānassa catutthassa ca jhānassa antare natthi jhāna antarikā ati 	9	Is there no jhāna in between the third jhāna and the fourth jhāna?
['PA_kv_18.7:9.2']	Āmantā.	āmantā 	9	You should say so.
['PA_kv_18.7:9.3']	Paṭhamassa ca jhānassa dutiyassa ca jhānassa antare natthi jhānantarikāti?	paṭhamassa ca jhānassa dutiyassa ca jhānassa antare natthi jhāna antarikā ati 	9	Is there no jhāna in between the first jhāna and the second jhāna?
['PA_kv_18.7:9.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	9	You should not say so.
['PA_kv_18.7:10.1']	Avitakko vicāramatto samādhi jhānantarikāti?	a vitakkaḥ vicāra mattaḥ samādhi jhā an antarikā ati 	10	Is concentration without thinking and with only exploring the jhāna in between?
['PA_kv_18.7:10.2']	Āmantā.	āmantā 	10	You should say so.
['PA_kv_18.7:10.3']	Savitakko savicāro samādhi jhānantarikāti?	sa vitakkaḥ sa vicāraḥ samādhi jhā an antarikā ati 	10	Is concentration with thinking and with exploring the jhāna in between?
['PA_kv_18.7:10.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	10	You should not say so.
['PA_kv_18.7:11.1']	Avitakko vicāramatto samādhi jhānantarikāti?	a vitakkaḥ vicāra mattaḥ samādhi jhā an antarikā ati 	11	Is concentration without thinking and with only exploring the jhāna in between?
['PA_kv_18.7:11.2']	Āmantā.	āmantā 	11	You should say so.
['PA_kv_18.7:11.3']	Avitakko avicāro samādhi jhānantarikāti?	a vitakkaḥ a vicāraḥ samādhi jhā an antarikā ati 	11	Is concentration without thinking and without exploring the jhāna in between?
['PA_kv_18.7:11.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	11	You should not say so.
['PA_kv_18.7:12.1']	Savitakko savicāro samādhi na jhānantarikāti?	sa vitakkaḥ sa vicāraḥ samādhi na jhā antarikā ati 	12	Is concentration with thinking and with exploring not the jhāna in between?
['PA_kv_18.7:12.2']	Āmantā.	āmantā 	12	You should say so.
['PA_kv_18.7:12.3']	Avitakko vicāramatto samādhi na jhānantarikāti?	a vitakkaḥ vicāra mattaḥ samādhi na jhāna antarikā ati 	12	Is concentration without thinking and with only exploring not the jhāna in between?
['PA_kv_18.7:12.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	12	You should not say so.
['PA_kv_18.7:13.1']	Avitakko avicāro samādhi na jhānantarikāti?	a vitakkaḥ a vicāraḥ samādhi na jhāna antarikā ati 	13	Is concentration without thinking and without exploring not the jhāna in between?
['PA_kv_18.7:13.2']	Āmantā.	āmantā 	13	You should say so.
['PA_kv_18.7:13.3']	Avitakko vicāramatto samādhi na jhānantarikāti?	a vitakkaḥ vicāra mattaḥ samādhi na jhāna antarikā ati 	13	Is concentration without thinking and with only exploring the middle state between the two jhanas?
['PA_kv_18.7:13.4']	Na hevaṁ vattabbe …pe….	na ha ivam vattabbe pe 	13	You say, “No.”
['PA_kv_18.7:14.1']	Dvinnaṁ jhānānaṁ paṭuppannānamantare avitakko vicāramatto samādhīti?	dvinnam jhānānam paṭuppannānam antare avitakkaḥ vicāra mattaḥ samādhi iti 	14	… Is concentration without thinking and with only exploring the middle state between the two jhanas that have arisen?
['PA_kv_18.7:14.2']	Āmantā.	āmantā 	14	You say, “Yes.”
['PA_kv_18.7:14.3']	Nanu avitakke vicāramatte samādhimhi vattamāne paṭhamaṁ jhānaṁ niruddhaṁ dutiyaṁ jhānaṁ paṭuppannanti?	nanu avitakke vicāra matte samādhimhi vattamāne paṭhamam jhānam niruddham dutiyam jhānam paṭuppannanti 	14	But when concentration without thinking and with only exploring is occurring, then the first jhana has been abandoned, the second jhana has arisen.
['PA_kv_18.7:14.4', 'PA_kv_18.7:14.5']	Āmantā.🔽Hañci avitakke vicāramatte samādhimhi vattamāne paṭhamaṁ jhānaṁ niruddhaṁ dutiyaṁ jhānaṁ paṭuppannaṁ, no ca vata re vattabbe—	āmantā  hañci avitakke vicāra matte samādhimhi vattamāne paṭhamam jhānam niruddham dutiyam jhānam no ca vata re vattabbe 	14	You say, “Yes.”
['PA_kv_18.7:14.6']	“dvinnaṁ jhānānaṁ paṭuppannānamantare avitakko vicāramatto samādhi jhānantarikā”ti.	dvinnam jhānānam paṭuppannānam antare avitakkaḥ vicāra mattaḥ samādhi jhā anantarikā ati 	14	Then you should not say that “Concentration without thinking and with only exploring is the middle state between the two jhanas that have arisen.”
['PA_kv_18.7:15.1']	Avitakko vicāramatto samādhi na jhānantarikāti?	a vitakkaḥ vicāra mattaḥ samādhi na jhāna antarikā ati 	15	Is concentration without thinking and with only exploring not the middle state between the two jhanas?
