segmentnr	original	analyzed	folio	translated
['PA_ja_40:0.1']	Jātaka	jātaka 	0	Birth Stories
['PA_ja_40:0.2', 'PA_ja_40:0.3']	Ekakanipāta🔽Kulāvakavagga	eka ka nipāta  kulāvaka vagga 	0	The Collection of Birth Stories (Ekakanipāta)🔽The Chapter on the Cave (Kulāvakavagga)
['PA_ja_40:0.4']	10. Khadiraṅgārajātaka	      	0	The Khadiraṅgara Birth Story
['PA_ja_40:1.1']	“Kāmaṁ patāmi nirayaṁ,	kāmam patāmi niraya 	1	“I would rather fall into hell,
['PA_ja_40:1.2']	uddhampādo avaṁsiro;	uddhampādaḥ avasiraḥ 	1	with my feet up and head down;
['PA_ja_40:1.3']	Nānariyaṁ karissāmi,	na anariyam karissāmi 	1	I will not do what is unrighteous,
['PA_ja_40:1.4', 'PA_ja_40:2.1']	handa piṇḍaṁ paṭiggahā”ti.🔽Khadiraṅgārajātakaṁ dasamaṁ.	handa piṇḍam paṭiggahāti  khadiḥ aṅgāra jātakam dasama 	1	so please accept this alms-food.”🔽The Khadiraṅgara Birth Story is the tenth.
['PA_ja_40:2.2']	Kulāvakavaggo catuttho.	kulāvaka vaggo catuttho 	2	The fourth chapter is concluded.
['PA_ja_40:3.1']	Tassuddānaṁ	tassa uddāna 	3	The summary:
['PA_ja_40:4.1']	Sirimātali dhītara pakkhivaro,	siri mātali pakkhi varo 	4	Sirimā, Mātali, daughter, Pakkha, Var,
['PA_ja_40:4.2']	Ratiyāgato mātāpitā ca puna;	rati yāgataḥ mātā pitā ca punar 	4	Rati, Āgato, mother and father again,
['PA_ja_40:4.3']	Jagatīruha vuḍḍha sukakkaṭako,	jagatīruha vuḍḍha su kakkaṭako 	4	Jagatī, Rūha, Vuḍḍha, Suka, Kaṭṭhaka,
['PA_ja_40:4.4']	Tathā nandakapiṇḍavarena dasāti.	tathā nandaka piṇḍa varena dasāti 	4	And so Nandaka, Piṇḍa, Var, the tenth.
