segmentnr	original	analyzed	translated
['PA_iti_30:0.1']	Itivuttaka 30	itivuttaka 	As It Was Said
['PA_iti_30:0.2']	Dukanipāta	duka nipāta 	The Collection of Twos
['PA_iti_30:0.3']	Paṭhamavagga	paṭhama vagga 	The First Section
['PA_iti_30:0.4']	Tapanīyasutta	tapanīya sutta 	To Be Regretted
['PA_iti_30:1.1']	Vuttañhetaṁ bhagavatā vuttamarahatāti me sutaṁ:	vuttam ha etam bhagavatā vuttam arahatā iti me suta 	This was said by the Blessed One, said by the Arahant, so I have heard:
['PA_iti_30:2.1']	“Dveme, bhikkhave, dhammā tapanīyā.	dve me bhikkhave dhammā tapanīyā 	“Monks, there are these two things to be regretted.
['PA_iti_30:2.2']	Katame dve?	katame dve 	What two?
['PA_iti_30:2.3']	Idha, bhikkhave, ekacco akatakalyāṇo hoti, akatakusalo, akatabhīruttāṇo, katapāpo, kataluddo, katakibbiso.	idha bhikkhave ekaccaḥ akata kalyāṇaḥ hoti akata kusalaḥ akata bhīruttāṇaḥ kata pāpaḥ kata luddaḥ kata kibbisaḥ 	There is the case where a person has not done what is good, has not done what is skillful, has not made an island for himself, has not made a refuge for himself, has not made an island or a refuge for himself. He has done evil, has done unskillful things, has been cruel.
['PA_iti_30:2.4']	So ‘akataṁ me kalyāṇan’tipi tappati, ‘kataṁ me pāpan’tipi tappati.	saḥ a katam me kalyāṇan tipi tappati katam me pāpan tipi tappati 	He regrets what he has not done: ‘I have not done what is good. I have not done what is skillful. I have not made an island for myself, have not made a refuge for myself, have not made an island or a refuge for myself. I have done evil, have done unskillful things, have been cruel.’
['PA_iti_30:2.5']	Ime kho, bhikkhave, dve dhammā tapanīyā”ti.	ime kho bhikkhave dve dhammā tapanīyā ati 	These are the two things to be regretted.”
['PA_iti_30:2.6']	Etamatthaṁ bhagavā avoca.	etam attham bhagavān avoca 	The Blessed One said this.
['PA_iti_30:2.7']	Tatthetaṁ iti vuccati:	tattha itam iti vuccati 	And in reference to this, they say:
['PA_iti_30:3.1']	“Kāyaduccaritaṁ katvā,	kāyaduccaritam katvā 	“Having done bodily misconduct
['PA_iti_30:3.2']	vacīduccaritāni ca;	vacīt uccaritāni ca 	and verbal misconduct as well,
['PA_iti_30:3.3']	Manoduccaritaṁ katvā,	manaḥ uduccaritam katvā 	having done mental misconduct,
['PA_iti_30:3.4', 'PA_iti_30:4.1']	yañcaññaṁ dosasañhitaṁ.🔽Akatvā kusalaṁ kammaṁ,	yat caññam dosa sañhita  a katvā kusalam kamma 	and whatever else is mixed with hate,🔽not having done what is skillful,
['PA_iti_30:4.2']	katvānākusalaṁ bahuṁ;	katvā an ākusalam bahu 	having done much that is not skillful,
['PA_iti_30:4.3']	Kāyassa bhedā duppañño,	kāyassa bhedā duppaññaḥ 	at the break-up of the body, the witless one
['PA_iti_30:4.4']	nirayaṁ sopapajjatī”ti.	nirayam sā upapajjati iti 	is reborn in hell.”
['PA_iti_30:5.1']	Ayampi attho vutto bhagavatā, iti me sutanti.	ayam pi atthaḥ vuttaḥ bhagavatā iti me sutam ti 	This, too, was the meaning of what was said by the Blessed One, so I have heard.
['PA_iti_30:5.2']	Tatiyaṁ.	tatiya 	The third.
