segmentnr	original	analyzed	translated
['PA_ne_25:0.1']	Netti	na itti 	The Guide
['PA_ne_25:0.2']	Paṭiniddesavāra	paṭiniddesa vāra 	The Reversal Section
['PA_ne_25:0.3']	Sampāta 6	sampāta 	The Confluence
['PA_ne_25:0.4']	Catubyūhahārasampāta	catu byūha hāra sampāta 	The Confluence of the Fourfold Array
['PA_ne_25:1.1']	Tattha katamo catubyūho hārasampāto.	tattha katamaḥ catu byūhaḥ hāra sampāto 	Herein, what is the confluence of the fourfold array?
['PA_ne_25:2.1']	“Tasmā rakkhitacittassa, sammāsaṅkappagocaro”ti gāthā.	tasmā rakkhita cittassa sammā saṅkappa gocaraḥ ti gāthā 	“Therefore, with guarded mind, he has the province of right thinking” .
['PA_ne_25:2.2']	“Tasmā rakkhitacittassā”ti rakkhitaṁ paripālīyatīti esā nirutti.	tasmā rakkhita cittassa ati rakkhitam paripālīyati iti esā nirutti 	“Therefore, with guarded mind” : guarded, protected, is the usage.
['PA_ne_25:2.3']	Idha bhagavato ko adhippāyo?	idha bhagavato kaḥ adhippāyo 	What is the Blessed One’s purport here?
['PA_ne_25:2.4']	Ye duggatīhi parimuccitukāmā bhavissanti, te dhammacārino bhavissantīti ayaṁ ettha bhagavato adhippāyo.	ye duggatīhi parimuccitu kāmāḥ bhavissanti te dhamma cārinaḥ bhavissanti iti ayam ettha bhagavataḥ adhippāyaḥ 	Those who will wish to be delivered from the states of deprivation will be virtuous. This is the Blessed One’s purport here.
['PA_ne_25:2.5']	Kokāliko hi sāriputtamoggallānesu theresu cittaṁ padosayitvā mahāpadumaniraye upapanno.	kokālikaḥ hi sāriputta moggallānesu theresu cittam padosayitvā mahāpaduma niraye upapannaḥ 	For Kokālika, after harbouring hatred towards the venerable Sāriputta and the venerable Moggallāna, was reborn in the Great Avīci Hell.
['PA_ne_25:2.6']	Bhagavā ca satiārakkhena cetasā samannāgato, suttamhi vuttaṁ—	bhagavā ca sati ārakkhena cetasā samannāgataḥ suttamhi 	And the Blessed One is endowed with the protection of mindfulness. It is said in the texts:
['PA_ne_25:2.7']	“satiyā cittaṁ rakkhitabban”ti.	satiyā cittam rakkhitabbanti 	“The mind should be guarded by mindfulness” .
['PA_ne_25:2.8']	Niyutto catubyūho hārasampāto.	niyuttaḥ catu byūhaḥ hāra sampāto 	The fourfold array is applied.
