segmentnr	original	analyzed	translated
['PA_ds_2.1.6:0.1']	Dhammasaṅgaṇī	dhammasaṅgaṇī 	The Numerical Discourses 
['PA_ds_2.1.6:0.2']	2 Niddesa	niddesa 	The Analyses 
['PA_ds_2.1.6:0.3']	2.1 Cittuppādakaṇḍa	     	The Chapter on the Arising of Thoughts 
['PA_ds_2.1.6:0.4']	2.1.6. Dvādasa akusala	dvādasa akusala 	… Twelve Unwholesome Thoughts 
['PA_ds_2.1.6:1.1', 'PA_ds_2.1.6:1.2_0', 'PA_ds_2.1.6:1.2_1']	Katame dhammā akusalā?🔽Yasmiṁ samaye akusalaṁ cittaṁ uppannaṁ hoti somanassasahagataṁ diṭṭhigatasampayuttaṁ🔽rūpārammaṇaṁ vā saddārammaṇaṁ vā gandhārammaṇaṁ vā rasārammaṇaṁ vā phoṭṭhabbārammaṇaṁ	katame dhammā akusalā  yasmin samaye akusalam cittam uppannam hoti somanassa sahagatam diṭṭhi gata sampayutta  rūpa ārammaṇam vā sadda ārammaṇam vā gandha ārammaṇam vā rasa ārammaṇam vā phoṭṭhabba ārammaṇam 	What are unwholesome thoughts? 🔽When an unwholesome mind occurs connected with joy and associated with view,🔽having form as its object … or a sound … or a smell … or a taste … or a tangible …
['PA_ds_2.1.6:1.2_2']	vā dhammārammaṇaṁ vā yaṁ yaṁ vā panārabbha, tasmiṁ samaye phasso hoti, vedanā hoti,	vā dhamma ārammaṇam vā yam yam vā pana ārabbha tasmin samaye phassaḥ hoti vedanā hoti 	or a thought as its object, or whatever it may be, at that time there is contact, there is feeling,
['PA_ds_2.1.6:1.2_3']	saññā hoti, cetanā hoti, cittaṁ hoti, vitakko hoti, vicāro hoti, pīti hoti, sukhaṁ	saññā hoti cetanā hoti cittam hoti vitakkaḥ hoti vicāraḥ hoti pīti hoti sukha 	there is perception, there is intention, there is thought, there is thinking, there is reflection, there is joy, there is happiness,
['PA_ds_2.1.6:1.2_4']	hoti, cittassekaggatā hoti, vīriyindriyaṁ hoti, samādhindriyaṁ hoti, manindriyaṁ	hoti cittassa ekagga tā hoti vīriya indriyam hoti samādhi indriyam hoti manindriya 	there is one-pointedness of mind, there is the faculty of energy, there is the faculty of concentration, there is the faculty of mind,
['PA_ds_2.1.6:1.2_5']	hoti, somanassindriyaṁ hoti, jīvitindriyaṁ hoti, micchādiṭṭhi hoti, micchāsaṅkappo	hoti somanassa indriyam hoti jīvita indriyam hoti micchā diṭṭhi hoti micchā saṅkappo 	there is the faculty of joy, there is the faculty of life, there is wrong view, there is wrong thought,
['PA_ds_2.1.6:1.2_6']	hoti, micchāvāyāmo hoti, micchāsamādhi hoti, vīriyabalaṁ hoti, samādhibalaṁ hoti,	hoti micchā vāyāmaḥ hoti micchā samādhi hoti vīriya balam hoti samādhi balam hoti 	there is wrong effort, there is wrong concentration, there is the strength of energy, there is the strength of concentration,
['PA_ds_2.1.6:1.2_7']	ahirikabalaṁ hoti, anottappabalaṁ hoti, lobho hoti, moho hoti, abhijjhā hoti, micchādiṭṭhi	ahirika balam hoti anottappa balam hoti lobhaḥ hoti mohaḥ hoti abhijjhā hoti micchādiṭṭhi 	There is the strength of lack of shame, the strength of lack of compunction, greed, delusion, covetousness, wrong view,
['PA_ds_2.1.6:1.2_8']	hoti, ahirikaṁ hoti, anottappaṁ hoti, samatho hoti, paggāho hoti, avikkhepo hoti;	hoti ahirikam hoti anottappam hoti samathaḥ hoti paggāhaḥ hoti avikkhepaḥ hoti 	lack of shame, lack of compunction, serenity, equanimity, and non-distraction.
['PA_ds_2.1.6:1.3']	ye vā pana tasmiṁ samaye aññepi atthi paṭiccasamuppannā arūpino dhammā—	ye vā pana tasmin samaye aññe pi atthi paṭiccasamuppannāḥ arūpino dhammā 	Or whatever other incorporeal, causally induced phenomena there are on that occasion—
['PA_ds_2.1.6:1.4']	ime dhammā akusalā.	ime dhammā akusalā 	these are wholesome thoughts.
['PA_ds_2.1.6:2.1']	Katamo tasmiṁ samaye phasso hoti?	katamaḥ tasmin samaye phassaḥ hoti 	What is contact at that time?
['PA_ds_2.1.6:2.2']	Yo tasmiṁ samaye phasso phusanā samphusanā samphusitattaṁ—	yaḥ tasmin samaye phassaḥ 	That which at that time is contact, contacting, being in contact—
['PA_ds_2.1.6:2.3']	ayaṁ tasmiṁ samaye phasso hoti.	ayam tasmin samaye phassaḥ hoti 	this is the contact at that time.
['PA_ds_2.1.6:3.1']	Katamā tasmiṁ samaye vedanā hoti?	katamā tasmin samaye vedanā ha iti 	What is feeling at that time?
