segmentnr	original	analyzed	folio	translated
['PA_patthana_23.47:0.1']	Paṭṭhānapakaraṇa	paṭṭhāna pakaraṇa 	0	The Paṭṭhāna Treatise🔽The reverse order of the law of conditionality🔽The Paṭṭhāna in brief🔽With object, with cause🔽With object, with cause, with condition
['PA_patthana_23.47:0.2']	Dhammapaccanīyānuloma (4), Tikatikapaṭṭhānapāḷi (5)	dhamma paccanīya anuloma tika tika paṭṭhāna pāḷi 	0	With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:0.3']	23.47. Sanidassanattika, Dassanahetuttika	sani dassana ttika dassana hetu ttika 	0	With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:1.1_0']	Nasanidassanasappaṭighaṁ nadassanena pahātabbahetukaṁ dhammaṁ paṭicca anidassanaappaṭigho	na sa nidassana sa ppaṭigham na dassanena pahātabba hetukam dhammam paṭicca a nidassana appaṭighaḥ 	1	With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:1.1_1']	dassanena pahātabbahetuko dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā tīṇi …pe… avigate tīṇi.	dassanena pahātabba hetukaḥ dhammaḥ uppajjati hetu paccayā saṅkhitta hetuyā tīṇi pe avigate tīṇi 	1	With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:2.1_0']	Nasanidassanasappaṭighaṁ nabhāvanāya pahātabbahetukaṁ dhammaṁ paṭicca anidassanaappaṭigho	na sa nidassana sa paṭigham na bhāvanāya pahātabba hetukam dhammam paṭicca anidassana appaṭighaḥ 	2	With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:2.1_1']	bhāvanāya pahātabbahetuko dhammo uppajjati hetupaccayā. (Saṅkhittaṁ.) Hetuyā tīṇi …pe… avigate tīṇi.	bhāvanāya pahātabba hetukaḥ dhammaḥ uppajjati hetu paccayā saṅkhitta hetuyā tīṇi pe avigate tīṇi 	2	With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:3.1_0']	Nasanidassanasappaṭighaṁ nanevadassanena nabhāvanāya pahātabbahetukaṁ dhammaṁ paṭicca	na sani dassana sa paṭigham na na iva dassanena na bhāvanāya pahātabba hetukam dhammam paṭicca 	3	With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition🔽With object, with cause, with condition
['PA_patthana_23.47:3.1_1']	sanidassanasappaṭigho nevadassanena nabhāvanāya pahātabbahetuko dhammo uppajjati	sa nidassana sa paṭighaḥ na iva dassanena na bhāvanāya pahātabba hetukaḥ dhammaḥ uppajjati 	3	With object, with cause, with condition🔽With object, with cause, with condition🔽With object
['PA_patthana_23.47:3.1_2']	hetupaccayā. (Saṅkhittaṁ.) Hetuyā ekavīsa, ārammaṇe tīṇi …pe… avigate ekavīsa.	hetu paccayā saṅkhitta hetuyā ekavīsa ārammaṇe tīṇi pe avigate ekavīsa 	3	With cause as condition. (In brief.) With cause as condition, twenty-one. With object as condition, three. … With non-hindrance as condition, twenty-one.
